oracle_usuario_id,tipo_evento,ip,user_agent,pais_origen,timestamp,detalle.metodo,detalle.exitoso,detalle.duracion_sesion_min,detalle.termino,detalle.resultados_encontrados,detalle.perfil_visitado_id,detalle.tiempo_visualizacion_seg,detalle.desde_seccion,detalle.torneo_id,detalle.accion,detalle.item_id,detalle.categoria,detalle.seccion,detalle.campo_modificado,detalle.destinatario_id
44,perfil_visitado,190.143.44.48,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15,Costa Rica,2025-09-22T17:07:36.474Z,,,,,,59,23,equipos,,,,,,,
45,clic_torneo,190.144.45.55,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Panama,2025-09-13T05:42:36.447Z,,,,,,,,juegos,45,compartir,,,,,
46,clic_tienda,190.145.46.62,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/122.0.0.0,Colombia,2025-11-01T20:39:04.939Z,,,,,,,,,,agregar_carrito,4,creditos,,,
47,cambio_config,190.146.47.69,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_3) AppleWebKit/605.1.15 Safari/17.3,Argentina,2025-10-28T21:12:53.987Z,,,,,,,,,,,,,notificaciones,mostrar_perfil,
48,envio_solicitud_amistad,190.147.48.76,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0.0.0,Chile,2026-03-25T18:04:11.278Z,,,,,,,,torneos,,,,,,,8
49,login,190.148.49.83,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15,Peru,2025-09-02T10:39:04.638Z,google,true,,,,,,,,,,,,,
50,logout,190.149.50.90,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Espana,2025-10-02T16:05:50.370Z,,,56,,,,,,,,,,,,
51,busqueda,190.100.51.97,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/122.0.0.0,Estados Unidos,2025-10-22T20:47:59.927Z,,,,apex legends tips,36,,,,,,,,,,
52,perfil_visitado,190.101.52.104,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_3) AppleWebKit/605.1.15 Safari/17.3,Brasil,2026-03-12T01:34:30.922Z,,,,,,7,17,configuracion,,,,,,,
53,clic_torneo,190.102.53.111,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0.0.0,Honduras,2025-12-08T12:15:12.987Z,,,,,,,,equipos,53,inscribirse,,,,,
54,clic_tienda,190.103.54.118,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15,Mexico,2025-12-19T15:30:15.367Z,,,,,,,,,,agregar_carrito,12,avatar,,,
55,cambio_config,190.104.55.125,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Guatemala,2025-12-27T20:42:04.562Z,,,,,,,,,,,,,seguridad,2fa,
56,envio_solicitud_amistad,190.105.56.132,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/122.0.0.0,El Salvador,2025-09-22T15:36:28.841Z,,,,,,,,tienda,,,,,,,16
57,login,190.106.57.139,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_3) AppleWebKit/605.1.15 Safari/17.3,Costa Rica,2026-02-15T22:34:17.466Z,email,true,,,,,,,,,,,,,
58,logout,190.107.58.146,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0.0.0,Panama,2025-10-05T08:21:24.950Z,,,108,,,,,,,,,,,,
59,busqueda,190.108.59.153,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15,Colombia,2026-02-26T19:25:03.251Z,,,,fortnite premio,4,,,,,,,,,,
60,perfil_visitado,190.109.60.160,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Argentina,2025-12-19T01:30:28.946Z,,,,,,15,86,amigos,,,,,,,
1,clic_torneo,190.110.61.167,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/122.0.0.0,Chile,2025-11-03T04:37:21.115Z,,,,,,,,configuracion,1,ver_detalle,,,,,
2,clic_tienda,190.111.62.174,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_3) AppleWebKit/605.1.15 Safari/17.3,Peru,2026-03-23T20:47:26.675Z,,,,,,,,,,agregar_carrito,6,membresia,,,
3,cambio_config,190.112.63.181,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0.0.0,Espana,2026-03-04T16:09:47.556Z,,,,,,,,,,,,,apariencia,notif_email,
4,envio_solicitud_amistad,190.113.64.188,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15,Estados Unidos,2026-02-13T11:09:00.191Z,,,,,,,,ranking,,,,,,,24
5,login,190.114.65.195,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Brasil,2025-10-27T00:32:59.414Z,email,true,,,,,,,,,,,,,
6,logout,190.115.66.202,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/122.0.0.0,Honduras,2025-10-29T17:35:16.126Z,,,101,,,,,,,,,,,,
7,busqueda,190.116.67.209,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_3) AppleWebKit/605.1.15 Safari/17.3,Mexico,2025-09-02T04:49:49.437Z,,,,cs2 ranked,21,,,,,,,,,,
8,perfil_visitado,190.117.68.216,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0.0.0,Guatemala,2026-01-10T06:05:31.506Z,,,,,,23,19,inicio,,,,,,,
9,clic_torneo,190.118.69.223,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15,El Salvador,2025-11-02T03:22:15.003Z,,,,,,,,amigos,9,compartir,,,,,
10,clic_tienda,190.119.70.230,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Costa Rica,2025-09-23T10:22:45.337Z,,,,,,,,,,agregar_carrito,14,banner,,,
11,cambio_config,190.120.71.237,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/122.0.0.0,Panama,2026-02-14T22:25:40.269Z,,,,,,,,,,,,,privacidad,tema_oscuro,
12,envio_solicitud_amistad,190.121.72.244,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_3) AppleWebKit/605.1.15 Safari/17.3,Colombia,2026-03-22T07:40:36.473Z,,,,,,,,juegos,,,,,,,32
13,login,190.122.73.251,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0.0.0,Argentina,2025-12-10T10:09:35.232Z,google,true,,,,,,,,,,,,,
14,logout,190.123.74.4,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15,Chile,2026-01-27T19:16:58.622Z,,,175,,,,,,,,,,,,
15,busqueda,190.124.75.11,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Peru,2025-11-21T10:22:37.191Z,,,,FIFA 24 equipos,16,,,,,,,,,,
16,perfil_visitado,190.125.76.18,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/122.0.0.0,Espana,2026-01-05T21:09:22.240Z,,,,,,31,99,perfil,,,,,,,
17,clic_torneo,190.126.77.25,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_3) AppleWebKit/605.1.15 Safari/17.3,Estados Unidos,2026-01-01T16:32:53.373Z,,,,,,,,inicio,17,inscribirse,,,,,
18,clic_tienda,190.127.78.32,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0.0.0,Brasil,2026-02-13T02:27:49.090Z,,,,,,,,,,agregar_carrito,8,servicio,,,
19,cambio_config,190.128.79.39,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15,Honduras,2026-03-28T13:42:40.571Z,,,,,,,,,,,,,idioma,idioma_preferido,
20,envio_solicitud_amistad,190.129.80.46,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Mexico,2025-09-14T13:01:58.380Z,,,,,,,,equipos,,,,,,,40
21,login,190.130.81.53,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/122.0.0.0,Guatemala,2025-09-09T04:00:36.691Z,email,false,,,,,,,,,,,,,
22,logout,190.131.82.60,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_3) AppleWebKit/605.1.15 Safari/17.3,El Salvador,2026-02-07T09:49:05.951Z,,,147,,,,,,,,,,,,
23,busqueda,190.132.83.67,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0.0.0,Costa Rica,2026-02-09T16:09:28.496Z,,,,league of legends,31,,,,,,,,,,
24,perfil_visitado,190.133.84.74,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15,Panama,2025-12-16T09:19:00.413Z,,,,,,39,44,torneos,,,,,,,
25,clic_torneo,190.134.85.81,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Colombia,2026-01-26T13:11:18.623Z,,,,,,,,perfil,25,ver_detalle,,,,,
26,clic_tienda,190.135.86.88,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/122.0.0.0,Argentina,2025-12-10T19:11:09.156Z,,,,,,,,,,agregar_carrito,2,creditos,,,
27,cambio_config,190.136.87.95,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_3) AppleWebKit/605.1.15 Safari/17.3,Chile,2026-02-06T02:03:50.611Z,,,,,,,,,,,,,notificaciones,mostrar_perfil,
28,envio_solicitud_amistad,190.137.88.102,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0.0.0,Peru,2025-12-07T10:01:00.256Z,,,,,,,,configuracion,,,,,,,48
29,login,190.138.89.109,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15,Espana,2025-10-31T14:59:34.830Z,email,true,,,,,,,,,,,,,
30,logout,190.139.90.116,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Estados Unidos,2025-12-19T13:21:31.802Z,,,112,,,,,,,,,,,,
31,busqueda,190.140.91.123,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/122.0.0.0,Brasil,2025-09-23T18:34:52.636Z,,,,valorant torneo,24,,,,,,,,,,
32,perfil_visitado,190.141.92.130,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_3) AppleWebKit/605.1.15 Safari/17.3,Honduras,2026-03-10T17:40:36.954Z,,,,,,47,103,tienda,,,,,,,
33,clic_torneo,190.142.93.137,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0.0.0,Mexico,2026-03-25T18:18:45.266Z,,,,,,,,torneos,33,compartir,,,,,
34,clic_tienda,190.143.94.144,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15,Guatemala,2026-01-26T22:51:13.742Z,,,,,,,,,,agregar_carrito,10,avatar,,,
35,cambio_config,190.144.95.151,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,El Salvador,2026-03-19T07:24:01.438Z,,,,,,,,,,,,,seguridad,2fa,
36,envio_solicitud_amistad,190.145.96.158,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/122.0.0.0,Costa Rica,2025-09-20T22:35:04.061Z,,,,,,,,amigos,,,,,,,56
37,login,190.146.97.165,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_3) AppleWebKit/605.1.15 Safari/17.3,Panama,2026-02-02T09:12:31.525Z,google,true,,,,,,,,,,,,,
38,logout,190.147.98.172,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0.0.0,Colombia,2025-10-27T03:56:48.341Z,,,53,,,,,,,,,,,,
39,busqueda,190.148.99.179,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15,Argentina,2026-02-16T14:46:59.865Z,,,,torneos gratis,26,,,,,,,,,,
40,perfil_visitado,190.149.100.186,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Chile,2026-01-31T00:30:38.528Z,,,,,,55,10,ranking,,,,,,,
41,clic_torneo,190.100.101.193,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/122.0.0.0,Peru,2025-09-19T02:56:02.452Z,,,,,,,,tienda,41,inscribirse,,,,,
42,clic_tienda,190.101.102.200,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_3) AppleWebKit/605.1.15 Safari/17.3,Espana,2025-09-10T01:33:09.646Z,,,,,,,,,,agregar_carrito,4,membresia,,,
43,cambio_config,190.102.103.207,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0.0.0,Estados Unidos,2025-09-24T09:49:48.803Z,,,,,,,,,,,,,apariencia,notif_email,
44,envio_solicitud_amistad,190.103.104.214,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15,Brasil,2025-10-15T03:49:38.518Z,,,,,,,,inicio,,,,,,,4
45,login,190.104.105.221,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Honduras,2025-12-31T20:19:23.367Z,email,true,,,,,,,,,,,,,
46,logout,190.105.106.228,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/122.0.0.0,Mexico,2025-09-14T23:45:20.044Z,,,184,,,,,,,,,,,,
47,busqueda,190.106.107.235,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_3) AppleWebKit/605.1.15 Safari/17.3,Guatemala,2025-12-14T15:54:08.184Z,,,,mejores builds,14,,,,,,,,,,
48,perfil_visitado,190.107.108.242,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0.0.0,El Salvador,2025-11-01T11:24:19.293Z,,,,,,3,99,juegos,,,,,,,
49,clic_torneo,190.108.109.249,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15,Costa Rica,2026-02-22T11:59:03.016Z,,,,,,,,ranking,49,ver_detalle,,,,,
50,clic_tienda,190.109.110.2,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Panama,2026-03-29T01:17:44.393Z,,,,,,,,,,agregar_carrito,12,banner,,,
51,cambio_config,190.110.111.9,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/122.0.0.0,Colombia,2025-10-08T23:10:07.501Z,,,,,,,,,,,,,privacidad,tema_oscuro,
52,envio_solicitud_amistad,190.111.112.16,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_3) AppleWebKit/605.1.15 Safari/17.3,Argentina,2025-09-08T17:16:43.369Z,,,,,,,,perfil,,,,,,,12
53,login,190.112.113.23,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0.0.0,Chile,2025-10-23T23:25:27.811Z,email,true,,,,,,,,,,,,,
54,logout,190.113.114.30,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15,Peru,2025-10-18T21:02:21.053Z,,,23,,,,,,,,,,,,
55,busqueda,190.114.115.37,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Espana,2025-09-27T12:45:05.297Z,,,,como subir xp,8,,,,,,,,,,
56,perfil_visitado,190.115.116.44,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/122.0.0.0,Estados Unidos,2026-01-12T12:53:22.059Z,,,,,,11,21,equipos,,,,,,,
57,clic_torneo,190.116.117.51,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_3) AppleWebKit/605.1.15 Safari/17.3,Brasil,2026-01-01T17:46:59.721Z,,,,,,,,juegos,57,compartir,,,,,
58,clic_tienda,190.117.118.58,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0.0.0,Honduras,2026-01-05T22:55:26.169Z,,,,,,,,,,agregar_carrito,6,servicio,,,
59,cambio_config,190.118.119.65,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15,Mexico,2025-12-11T11:57:32.228Z,,,,,,,,,,,,,idioma,idioma_preferido,
60,envio_solicitud_amistad,190.119.120.72,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Guatemala,2025-11-21T13:45:11.540Z,,,,,,,,torneos,,,,,,,20
1,login,190.120.121.79,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/122.0.0.0,El Salvador,2026-03-10T14:57:46.673Z,google,false,,,,,,,,,,,,,
2,logout,190.121.122.86,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_3) AppleWebKit/605.1.15 Safari/17.3,Costa Rica,2026-02-19T02:02:12.417Z,,,86,,,,,,,,,,,,
